
database = xoghayye/hoyga-xogta
bas e= hayye
data = xog
typecast = guurash
shortcut = gaabis
synonym = lamide
opposite = kalide/lid
value = qiime

//other sourcess//


aabbe	father
aan adkeen	easy
aan ahayn	not
aan iin lahayn	perfect
aan mayrnayn	dirty
aan sahlanayn	difficult
aanay	empty
abti	maternal uncle
adag	strong, difficult
adeer	paternal uncle
adres	address
af	mouth
alaabta guriga	furniture
alab la isku xirxiray	package
albaab	door
alwaax	wood
ama	or
amaahin	lend
aqal	house
aqriyid	read
Arbaco	Wednesday
arday	student
aroor	morning
aroos	marry
asbuuc	week
awoowe	grandfather
Axad	Sunday
ayeeyo	grandmother
baabuur	car
baahana-hay	hungry
baan	bank
baaxad leh	large
badan	more
bad-weyn	ocean
balan-qaadid	promise
ballaran	large
bangi	bank
bangiga	bank
baqaar	store
baraf	ice
barasho	study, teach, learn
bare	teacher
bari (jiho)	east
bariis	rice
barkin	pillow
baror	cry
baruur	fat
baryo	please
bas	bus
basal	onion
basbaas	pepper
baskiil	bicycle
batato	potato
bax	go
beed	egg
beerid	grow
beerta ubaxa lagu beero	flower garden
berri	tomorrow
berrito	tomorrow
beytamay	bathroom
beyto-mee	toilet
beyto-raaxo	toilet
beytoraxa	bathroom
bidix	left
bil	month, moon
bilabanaya	beginning
bilabid	begin
bilow	begin
birtaawada wax lagu shiilo	frying pan
bisad	cat
bisha	moon
bixid	go
bixin	pay
bixin	give
biyo	water
bog	page
buluug	blue
burashka ilkaha	toothbrush
burcad	cheese
burtuqaal	orange
bushimo	lips
buste	blanket
buud	boot
buudh	boot
buug	book
buuran	fat
buuxa	full
caafimaad	healthy
caajis	lazy
caano	milk
caato	thin
caawin	help
cab	drink
cabbid	drink
cabbitaan	drink
cabir	size
cad	white
cadceed	sun
caddan	white
cadow	enemy
cag	foot
cagaar	green
cagta hoose	foot
caleen	leaf
caleen-shaahi	tea
calool	stomach
carab	tongue
carar	run
casaan	red
cashaq	love
casuumid	invite
cawo	night
cayil	fat
ceyr	poor
cimilo	weather
cimri yar	young
cinwaan	address
cirka	sky
ciyaar	play
ciyoon	soon
ciyow	soon
cudud	arm
cudur	sick
culays badan	heavy
culus	heavy
cun	eat
cunid	eat
cuno	food
cunug	child, baby
cusbo	salt
cusub	new
da'	age
da' weyn	old
da' yar	young
daacadnimo	honest
daayr	winter
dab	fire
daba socod	follow
dabaal	stupid
dabaqad	class
dad	people
dahab	gold
dal	country
dallad	umbrella
dambiil	bag
daqad	window
daqiiqad	minute
dariiq	street
dariishad	window
daruur	cloud
dawo	medicine
dayax	moon
dayr	fall
dedka	roof
degdeg	quick
deg-deg	hurry
derbi	wall
deris	neighbor
dhabar	back
dhaciif	weak
dhagax	stone
dhalin yar	young
dhamaad	over
dhammaad	end
dhammayn	finish
dhaqaajiin	move
dhaqid	wash
dhaqsi	hurry, quick
dhaqso	soon
dhar	clothes
dharaar	day
dharka hoos laga xirta	underwear
dheel	play
dheelid	play
dheer	tall, long
dheg	ear
dhego-dhego	earring
dhegta wax lagu maqlo	ear
dheh	say
dhexda	center
dhexdi	during
dhibsi	hate
dhig	put
dhigid	put, write
dhihid	say
dhimasha	die
dhimo	die
dhinac	side
dhinaceed	beside
dhismo	building
dhoof	travel
dhoolo ka qosol	smile
dhumid	lose
dhunkasho	kiss
dibedda	out
dibno	lips
digaag	chicken
diger cagaar	pea
digir cagaar	beans
diiran	warm
diqsi	fly
dir	send
diyaar	ready
diyaarad	plane
doog	grass
dooga ay xooluhu daaqaan	grass
dooli jiir	mouse
doon	boat
dooni	boat
dooro	chicken
doraad	yesterday
dukaanka dawada	drugstore
duq	old
duq nimo	old
duqsi	school
durba	already
duulid	fly
eber	zero
eedo	aunt
eeg	look
eey	dog
engeg	dry
faaruq	empty
fadhi	sit
fadlan	please
fahmid	understand
far	finger
faraati	ring
faras	horse
faraxsan	happy
farda fuulid	ride
fargashi	ring
fargeyto	fork
fariisasho	sit
fasal	class
fasax	holiday
fatuurad	car
faynuus	lamp
feedh	comb
fekar	think
fiican	good
fiiri	look
filfil	pepper
frangabolo	stamp
franjiteer	refrigerator
funaanad	sweater
furan	open
fure	key
furid	open
furin	bread
fuulid	ride
gaaban	short
gaabin	slow
gaajo	hungry
gaari yar	car
gabar	girl
gaboobay	old
gacan	hand
gacanta hore	hand
gadaal	back (body)
gadasho	buy
gadh	comb
galab	noon, afternoon, evening
galbeed (jiho)	west
garaac	knock
garaacid	knock
garab	shoulder
garasho	understand, know
garatid	know
garawaati	tie
gashanqaad	adult
gebertaada	daughter
geed	tree
gelin dambe	afternoon
gerfeer	comb
gey	bring
gidaar	wall
go'	spring
gobadh	girl
gombo	penny
goobabin sida kubbadda	round
goono	skirt
goor-dambe	late
goor-hore	early
guduud	red
guri	house, building, apartment
guursi	marry
ha yeshe	but
haa	yes
habar-yar	aunt
habeen	night
habeenbadh	midnight
had iyo jeer	always
hadal	speak
hadal la 'aan	quiet
hadda	now
haddii	if
hal mar	once
halkaas	there
halkan	here
hanaqaad	adult
harag	leather
haro ama war biyo ku jiran	lake
harraad	thirsty
hawada	weather
hawl yar	easy
hay	keep
haye	hello, yes
hee	yes
hees	song
hilib	meat
hoos	under, down
hoose	low
hooseya	low
hore	before
hurdo	sleep
hurdo ka toos	wake up
idlayn	finish
ido dheylo' ah	lamb
iftiin la 'an	dark
iga raali noqo	excuse me
iibsi	buy
iibsid	sell
iibsid-gadid	sell
ijaar	rent
ilbiriqsi	second
ilig	tooth
ilka caseyn	smile
illaawid	forget
ilmeen	cry
iminka	now
imow	come
ina abtida	cousin
ina adeerka	cousin
ina adeerta	cousin
inaantaada	daughter
inanka eey walalaha dhaleen	nephew
inankage	son
inanta eey walalaha dhaleen	niece
injir	louse
inkastoo	although
inta badan	often
inta kale	rest
inta waqti socda	during
irrid	door
isbitaal	hospital
isha wax lagu arko	eye
iskaalso	sock
iskuul	school
Isniin	Monday
istaag	stand
istaajin	stop
isticmaal	use
isticmaalid	use
iyo	with, and
jaar	neighbor
jaban	cheap
jacayl	love
jaclahay	like
jaranjaro	stairs
jariidad	newspaper
jasiirad	island
jawaab	answer
jawiga	weather
jeceel	love
jeebka	pocket
jeeq	cheque
jerdiin	garden
jid	street
jidh	body
jiid	bull
jiilaal	winter
jiinis	jeans
jiiran	neighbor
jijin	bracelet
jiko	kitchen
jilibka	knee
jilicsan	soft
Jimco	Friday
jirka oo kululaado	fever
jiro	sick
jodari	mattress
joojin	stop
joornal	newspaper
ka	from
ka bacdi	after
ka dib	after
ka hor	before
ka jawaabid	answer
ka korreya	above
ka la duwan	different
ka tegid	leave
kaalay	come
kab	shoe
kabood	coat
kafayn kara	enough
kafe	coffee
kaftan	joke
kakan	strong
ka-kor	over
kan	this
kan hore	first
kan labad	second
kan sedexaad	third
kaneeco	mosquito
karhid	hate
kaxayn	drive
